DATE,M1
1975-01-01,279.675
1975-02-01,270.0
1975-03-01,272.62
1975-04-01,278.05
1975-05-01,273.925
1975-06-01,281.68
1975-07-01,284.425
1975-08-01,282.825
1975-09-01,283.98
1975-10-01,284.475
1975-11-01,289.475
1975-12-01,294.36
1976-01-01,294.85
1976-02-01,285.675
1976-03-01,286.58
1976-04-01,296.475
1976-05-01,291.36
1976-06-01,295.375
1976-07-01,298.75
1976-08-01,296.98
1976-09-01,298.675
1976-10-01,302.4
1976-11-01,305.28
1976-12-01,313.7
1977-01-01,314.0
1977-02-01,305.05
1977-03-01,308.0
1977-04-01,318.75
1977-05-01,311.76
1977-06-01,317.375
1977-07-01,322.65
1977-08-01,319.96
1977-09-01,323.825
1977-10-01,327.4
1977-11-01,331.325
1977-12-01,338.475
1978-01-01,340.38
1978-02-01,328.0
1978-03-01,330.325
1978-04-01,342.475
1978-05-01,338.72
1978-06-01,345.075
1978-07-01,349.12
1978-08-01,347.45
1978-09-01,352.8
1978-10-01,354.4
1978-11-01,358.475
1978-12-01,365.75
1979-01-01,365.82
1979-02-01,352.2
1979-03-01,355.425
1979-04-01,369.66
1979-05-01,361.9
1979-06-01,371.475
1979-07-01,377.58
1979-08-01,377.1
1979-09-01,380.525
1979-10-01,382.0
1979-11-01,384.575
1979-12-01,392.24
1980-01-01,390.925
1980-02-01,381.35
1980-03-01,381.68
1980-04-01,387.65
1980-05-01,377.225
1980-06-01,386.42
1980-07-01,394.75
1980-08-01,398.275
1980-09-01,403.44
1980-10-01,411.05
1980-11-01,415.225
1980-12-01,418.28
1981-01-01,419.55
1981-02-01,405.5
1981-03-01,410.3
1981-04-01,432.1
1981-05-01,418.975
1981-06-01,421.38
1981-07-01,428.625
1981-08-01,425.3
1981-09-01,427.325
1981-10-01,430.025
1981-11-01,433.5
1981-12-01,446.175
1982-01-01,452.65
1982-02-01,433.3
1982-03-01,434.06
1982-04-01,452.425
1982-05-01,440.18
1982-06-01,446.5
1982-07-01,450.2
1982-08-01,448.7
1982-09-01,456.75
1982-10-01,464.65
1982-11-01,472.3
1982-12-01,485.2
1983-01-01,483.46
1983-02-01,474.1
1983-03-01,482.425
1983-04-01,499.175
1983-05-01,492.54
1983-06-01,504.0
1983-07-01,510.975
1983-08-01,507.62
1983-09-01,511.85
1983-10-01,515.66
1983-11-01,522.0
1983-12-01,531.25
1984-01-01,531.68
1984-02-01,516.95
1984-03-01,522.7
1984-04-01,536.74
1984-05-01,530.45
1984-06-01,541.45
1984-07-01,542.46
1984-08-01,539.675
1984-09-01,543.275
1984-10-01,541.02
1984-11-01,549.8
1984-12-01,562.14
1985-01-01,563.1
1985-02-01,551.55
1985-03-01,557.2
1985-04-01,572.44
1985-05-01,568.925
1985-06-01,583.8
1985-07-01,590.6
1985-08-01,594.95
1985-09-01,600.42
1985-10-01,605.85
1985-11-01,612.9
1985-12-01,630.5
1986-01-01,630.775
1986-02-01,612.3
1986-03-01,622.34
1986-04-01,647.725
1986-05-01,644.725
1986-06-01,660.68
1986-07-01,674.175
1986-08-01,677.7
1986-09-01,682.74
1986-10-01,692.475
1986-11-01,704.65
1986-12-01,733.62
1987-01-01,744.25
1987-02-01,717.425
1987-03-01,720.92
1987-04-01,753.3
1987-05-01,739.175
1987-06-01,742.52
1987-07-01,748.2
1987-08-01,743.04
1987-09-01,744.775
1987-10-01,753.5
1987-11-01,754.24
1987-12-01,764.2
1988-01-01,770.475
1988-02-01,743.9
1988-03-01,751.1
1988-04-01,778.625
1988-05-01,762.6
1988-06-01,778.725
1988-07-01,787.0
1988-08-01,780.2
1988-09-01,781.1
1988-10-01,779.26
1988-11-01,787.0
1988-12-01,800.025
1989-01-01,795.68
1989-02-01,771.525
1989-03-01,775.225
1989-04-01,790.775
1989-05-01,767.4
1989-06-01,773.2
1989-07-01,779.2
1989-08-01,777.475
1989-09-01,778.0
1989-10-01,781.26
1989-11-01,790.625
1989-12-01,804.95
1990-01-01,805.86
1990-02-01,786.3
1990-03-01,793.5
1990-04-01,813.2
1990-05-01,795.15
1990-06-01,808.25
1990-07-01,810.54
1990-08-01,813.25
1990-09-01,817.325
1990-10-01,815.28
1990-11-01,825.05
1990-12-01,839.44
1991-01-01,833.95
1991-02-01,821.575
1991-03-01,830.625
1991-04-01,850.14
1991-05-01,840.0
1991-06-01,854.875
1991-07-01,860.36
1991-08-01,863.575
1991-09-01,864.68
1991-10-01,874.425
1991-11-01,888.65
1991-12-01,912.86
1992-01-01,919.45
1992-02-01,913.325
1992-03-01,926.62
1992-04-01,955.725
1992-05-01,941.9
1992-06-01,949.12
1992-07-01,962.825
1992-08-01,968.4
1992-09-01,982.65
1992-10-01,999.2
1992-11-01,1018.72
1992-12-01,1043.875
1993-01-01,1048.125
1993-02-01,1020.875
1993-03-01,1027.6
1993-04-01,1058.3
1993-05-01,1055.14
1993-06-01,1071.575
1993-07-01,1083.875
1993-08-01,1086.08
1993-09-01,1099.525
1993-10-01,1110.15
1993-11-01,1125.18
1993-12-01,1150.85
1994-01-01,1144.6
1994-02-01,1123.775
1994-03-01,1130.6
1994-04-01,1154.625
1994-05-01,1131.0
1994-06-01,1142.5
1994-07-01,1151.775
1994-08-01,1143.6
1994-09-01,1148.075
1994-10-01,1146.16
1994-11-01,1156.425
1994-12-01,1171.775
1995-01-01,1163.24
1995-02-01,1135.225
1995-03-01,1139.725
1995-04-01,1161.8
1995-05-01,1134.44
1995-06-01,1141.5
1995-07-01,1144.44
1995-08-01,1140.075
1995-09-01,1141.125
1995-10-01,1130.84
1995-11-01,1138.95
1995-12-01,1148.05
1996-01-01,1137.24
1996-02-01,1105.4
1996-03-01,1117.575
1996-04-01,1129.92
1996-05-01,1105.775
1996-06-01,1115.4
1996-07-01,1110.56
1996-08-01,1099.775
1996-09-01,1091.66
1996-10-01,1077.625
1996-11-01,1084.6
1996-12-01,1104.16
1997-01-01,1092.2
1997-02-01,1067.95
1997-03-01,1068.5
1997-04-01,1074.975
1997-05-01,1053.425
1997-06-01,1065.16
1997-07-01,1064.975
1997-08-01,1068.325
1997-09-01,1061.28
1997-10-01,1056.85
1997-11-01,1070.025
1997-12-01,1093.9
1998-01-01,1086.825
1998-02-01,1064.875
1998-03-01,1074.56
1998-04-01,1089.225
1998-05-01,1070.125
1998-06-01,1074.56
1998-07-01,1074.65
1998-08-01,1071.02
1998-09-01,1068.575
1998-10-01,1076.125
1998-11-01,1097.34
1998-12-01,1116.375
1999-01-01,1112.225
1999-02-01,1085.6
1999-03-01,1094.62
1999-04-01,1115.7
1999-05-01,1098.04
1999-06-01,1095.75
1999-07-01,1097.575
1999-08-01,1094.54
1999-09-01,1084.8
1999-10-01,1093.625
1999-11-01,1111.58
1999-12-01,1140.15
2000-01-01,1135.38
2000-02-01,1096.65
2000-03-01,1105.05
2000-04-01,1129.175
2000-05-01,1101.54
2000-06-01,1100.1
2000-07-01,1105.76
2000-08-01,1092.425
2000-09-01,1088.875
2000-10-01,1092.84
2000-11-01,1090.95
2000-12-01,1103.275
2001-01-01,1108.4
2001-02-01,1089.625
2001-03-01,1106.025
2001-04-01,1128.98
2001-05-01,1110.75
2001-06-01,1123.725
2001-07-01,1141.16
2001-08-01,1140.975
2001-09-01,1193.975
2001-10-01,1160.64
2001-11-01,1166.375
2001-12-01,1207.48
2002-01-01,1190.325
2002-02-01,1178.5
2002-03-01,1190.725
2002-04-01,1201.76
2002-05-01,1181.55
2002-06-01,1192.175
2002-07-01,1203.46
