DATE,USGG7YR Index
1969-07-01,7.27
1969-07-02,7.32
1969-07-03,7.3
1969-07-07,7.32
1969-07-08,7.34
1969-07-09,7.38
1969-07-10,7.33
1969-07-11,7.14
1969-07-14,7.24
1969-07-15,7.28
1969-07-16,7.22
1969-07-17,7.25
1969-07-18,7.25
1969-07-22,7.35
1969-07-23,7.36
1969-07-24,7.36
1969-07-25,7.36
1969-07-28,7.38
1969-07-29,7.37
1969-07-30,7.38
1969-07-31,7.3
1969-08-01,7.31
1969-08-04,7.24
1969-08-05,7.19
1969-08-06,7.22
1969-08-07,7.23
1969-08-08,7.26
1969-08-11,7.33
1969-08-12,7.37
1969-08-13,7.37
1969-08-14,7.33
1969-08-15,7.3
1969-08-18,7.24
1969-08-19,7.21
1969-08-20,7.21
1969-08-21,7.24
1969-08-22,7.28
1969-08-25,7.3
1969-08-26,7.35
1969-08-27,7.38
1969-08-28,7.4
1969-08-29,7.37
1969-09-02,7.41
1969-09-03,7.48
1969-09-04,7.52
1969-09-05,7.6
1969-09-08,7.68
1969-09-09,7.65
1969-09-10,7.62
1969-09-11,7.69
1969-09-12,7.74
1969-09-15,7.76
1969-09-16,7.78
1969-09-17,7.77
1969-09-18,7.89
1969-09-19,7.87
1969-09-22,7.87
1969-09-23,7.84
1969-09-24,7.86
1969-09-25,7.9
1969-09-26,8.01
1969-09-29,8.05
1969-09-30,8.13
1969-10-01,8.14
1969-10-02,8.05
1969-10-03,7.97
1969-10-06,7.94
1969-10-07,7.87
1969-10-08,7.83
1969-10-09,7.86
1969-10-10,7.7
1969-10-14,7.53
1969-10-15,7.57
1969-10-16,7.48
1969-10-17,7.37
1969-10-20,7.2
1969-10-21,7.14
1969-10-22,7.24
1969-10-23,7.34
1969-10-24,7.33
1969-10-27,7.35
1969-10-28,7.4
1969-10-29,7.42
1969-10-30,7.4
1969-10-31,7.41
1969-11-03,7.39
1969-11-05,7.48
1969-11-06,7.54
1969-11-07,7.52
1969-11-10,7.53
1969-11-12,7.6
1969-11-13,7.67
1969-11-14,7.63
1969-11-17,7.71
1969-11-18,7.76
1969-11-19,7.76
1969-11-20,7.85
1969-11-21,7.82
1969-11-24,7.74
1969-11-25,7.69
1969-11-26,7.73
1969-11-28,7.67
1969-12-01,7.6
1969-12-02,7.7
1969-12-03,7.82
1969-12-04,7.82
1969-12-05,7.83
1969-12-08,7.88
1969-12-09,8.02
1969-12-10,8.13
1969-12-11,8.14
1969-12-12,8.1
1969-12-15,8.09
1969-12-16,8.19
1969-12-17,8.22
1969-12-18,8.24
1969-12-19,8.16
1969-12-22,8.15
1969-12-23,8.22
1969-12-24,8.27
1969-12-26,8.3
1969-12-29,8.51
1969-12-30,8.43
1969-12-31,8.41
1970-01-02,8.35
1970-01-05,8.34
1970-01-06,8.38
1970-01-07,8.42
1970-01-08,8.35
1970-01-09,8.24
1970-01-12,8.21
1970-01-13,8.18
1970-01-14,8.23
1970-01-15,8.23
1970-01-16,8.1
1970-01-19,8.05
1970-01-20,8.14
1970-01-21,8.12
1970-01-22,8.14
1970-01-23,8.19
1970-01-26,8.23
1970-01-27,8.24
1970-01-28,8.26
1970-01-29,8.32
1970-01-30,8.27
1970-02-02,8.1
1970-02-03,8.04
1970-02-04,8.07
1970-02-05,8.06
1970-02-06,7.98
1970-02-09,7.9
1970-02-10,7.95
1970-02-11,7.94
1970-02-13,7.76
1970-02-16,7.77
1970-02-17,7.7
1970-02-18,7.67
1970-02-19,7.65
1970-02-20,7.7
1970-02-24,7.7
1970-02-25,7.52
1970-02-26,7.36
1970-02-27,7.27
1970-03-02,7.33
1970-03-03,7.33
1970-03-04,7.26
1970-03-05,7.16
1970-03-06,7.08
1970-03-09,7.09
1970-03-10,7.07
1970-03-11,7.16
1970-03-12,7.22
1970-03-13,7.3
1970-03-16,7.27
1970-03-17,7.41
1970-03-18,7.32
1970-03-19,7.02
1970-03-20,7.12
1970-03-23,7.06
1970-03-24,6.95
1970-03-25,6.87
1970-03-26,6.97
1970-03-30,7.11
1970-03-31,7.13
1970-04-01,7.03
1970-04-02,7.09
1970-04-03,7.14
1970-04-06,7.21
1970-04-07,7.17
1970-04-08,7.13
1970-04-09,7.12
1970-04-10,7.13
1970-04-13,7.21
1970-04-14,7.23
1970-04-15,7.31
1970-04-16,7.42
1970-04-17,7.44
1970-04-20,7.46
1970-04-21,7.51
1970-04-22,7.57
1970-04-23,7.58
1970-04-24,7.71
1970-04-27,7.74
1970-04-28,7.75
1970-04-29,7.74
1970-04-30,7.89
1970-05-01,7.91
1970-05-04,7.98
1970-05-05,7.96
1970-05-06,7.92
1970-05-07,7.85
1970-05-08,7.82
1970-05-11,7.94
1970-05-12,7.94
1970-05-13,7.94
1970-05-14,7.96
1970-05-15,7.92
1970-05-18,7.91
1970-05-19,7.89
1970-05-20,7.93
1970-05-21,7.95
1970-05-22,8.0
1970-05-25,8.11
1970-05-26,8.09
1970-05-27,7.93
1970-05-28,7.88
1970-05-29,7.84
1970-06-01,7.7
1970-06-02,7.71
1970-06-03,7.7
1970-06-04,7.73
1970-06-05,7.86
1970-06-08,7.81
1970-06-09,7.8
1970-06-10,7.79
1970-06-11,7.84
1970-06-12,7.94
1970-06-15,7.94
1970-06-16,7.87
1970-06-17,7.93
1970-06-18,7.94
1970-06-19,7.94
1970-06-22,7.9
1970-06-23,7.85
1970-06-24,7.86
1970-06-25,7.83
1970-06-26,7.84
1970-06-29,7.82
1970-06-30,7.77
1970-07-01,7.69
1970-07-02,7.58
1970-07-06,7.58
1970-07-07,7.56
1970-07-08,7.59
1970-07-09,7.6
1970-07-10,7.6
1970-07-13,7.59
1970-07-14,7.57
1970-07-15,7.53
