DATE,USGG3M Index
1954-01-04,1.33
1954-01-05,1.28
1954-01-06,1.28
1954-01-07,1.31
1954-01-08,1.31
1954-01-11,1.33
1954-01-12,1.3
1954-01-13,1.3
1954-01-14,1.28
1954-01-15,1.2
1954-01-18,1.2
1954-01-20,1.16
1954-01-21,1.08
1954-01-22,1.0
1954-01-25,1.0
1954-01-26,1.0
1954-01-27,1.08
1954-01-28,0.96
1954-01-29,1.02
1954-02-01,1.04
1954-02-02,1.0
1954-02-03,1.02
1954-02-04,1.01
1954-02-05,0.9
1954-02-08,0.89
1954-02-09,0.88
1954-02-10,0.93
1954-02-11,0.94
1954-02-15,0.98
1954-02-16,0.98
1954-02-17,1.02
1954-02-18,0.97
1954-02-19,0.96
1954-02-23,0.95
1954-02-24,0.97
1954-02-25,1.0
1954-02-26,1.0
1954-03-01,1.03
1954-03-02,1.03
1954-03-03,1.05
1954-03-04,1.03
1954-03-05,1.02
1954-03-08,1.03
1954-03-09,1.03
1954-03-10,1.06
1954-03-11,1.05
1954-03-12,1.04
1954-03-15,1.04
1954-03-16,1.02
1954-03-17,1.01
1954-03-18,1.01
1954-03-19,1.0
1954-03-22,1.0
1954-03-23,1.0
1954-03-24,1.05
1954-03-25,1.07
1954-03-26,1.05
1954-03-29,1.05
1954-03-30,1.04
1954-03-31,1.03
1954-04-01,1.02
1954-04-02,1.0
1954-04-05,0.98
1954-04-06,0.97
1954-04-07,1.0
1954-04-08,1.0
1954-04-09,1.03
1954-04-12,1.04
1954-04-13,1.06
1954-04-14,1.04
1954-04-15,1.03
1954-04-16,1.03
1954-04-19,1.02
1954-04-20,1.0
1954-04-21,1.0
1954-04-22,0.98
1954-04-23,0.94
1954-04-26,0.85
1954-04-27,0.83
1954-04-28,0.82
1954-04-29,0.81
1954-04-30,0.81
1954-05-03,0.77
1954-05-04,0.72
1954-05-05,0.72
1954-05-06,0.75
1954-05-07,0.79
1954-05-10,0.8
1954-05-11,0.78
1954-05-12,0.82
1954-05-13,0.82
1954-05-14,0.8
1954-05-17,0.8
1954-05-18,0.81
1954-05-19,0.79
1954-05-20,0.78
1954-05-21,0.76
1954-05-24,0.73
1954-05-25,0.7
1954-05-26,0.7
1954-05-27,0.7
1954-05-28,0.72
1954-06-01,0.71
1954-06-02,0.71
1954-06-03,0.68
1954-06-04,0.66
1954-06-07,0.61
1954-06-08,0.61
1954-06-09,0.62
1954-06-10,0.61
1954-06-11,0.62
1954-06-14,0.64
1954-06-15,0.63
1954-06-16,0.63
1954-06-17,0.61
1954-06-18,0.63
1954-06-21,0.63
1954-06-22,0.61
1954-06-23,0.62
1954-06-24,0.62
1954-06-25,0.64
1954-06-28,0.64
1954-06-29,0.64
1954-06-30,0.64
1954-07-01,0.65
1954-07-02,0.66
1954-07-06,0.66
1954-07-07,0.65
1954-07-08,0.65
1954-07-09,0.67
1954-07-12,0.69
1954-07-13,0.7
1954-07-14,0.73
1954-07-15,0.75
1954-07-16,0.73
1954-07-19,0.73
1954-07-20,0.72
1954-07-21,0.74
1954-07-22,0.75
1954-07-23,0.77
1954-07-26,0.78
1954-07-27,0.77
1954-07-28,0.79
1954-07-29,0.79
1954-07-30,0.79
1954-08-02,0.78
1954-08-03,0.77
1954-08-04,0.79
1954-08-05,0.8
1954-08-06,0.83
1954-08-09,0.9
1954-08-10,0.88
1954-08-11,0.93
1954-08-12,0.93
1954-08-13,0.93
1954-08-16,0.91
1954-08-17,0.91
1954-08-18,0.92
1954-08-19,0.93
1954-08-20,0.94
1954-08-23,1.0
1954-08-24,1.0
1954-08-25,0.98
1954-08-26,0.99
1954-08-27,1.0
1954-08-30,1.04
1954-08-31,1.05
1954-09-01,1.03
1954-09-02,1.02
1954-09-03,1.02
1954-09-07,1.03
1954-09-08,1.02
1954-09-09,1.02
1954-09-10,1.02
1954-09-13,1.03
1954-09-14,1.04
1954-09-15,1.02
1954-09-16,1.0
1954-09-17,1.0
1954-09-20,0.98
1954-09-21,0.98
1954-09-22,0.99
1954-09-23,0.99
1954-09-24,0.99
1954-09-27,1.0
1954-09-28,0.99
1954-09-29,1.0
1954-09-30,0.99
1954-10-01,0.97
1954-10-04,0.96
1954-10-05,0.94
1954-10-06,0.94
1954-10-07,0.94
1954-10-08,0.94
1954-10-11,0.96
1954-10-13,0.98
1954-10-14,0.99
1954-10-15,1.0
1954-10-18,1.0
1954-10-19,0.99
1954-10-20,1.01
1954-10-21,1.0
1954-10-22,1.0
1954-10-25,1.0
1954-10-26,1.0
1954-10-27,1.01
1954-10-28,1.01
1954-10-29,1.0
1954-11-01,1.0
1954-11-03,1.01
1954-11-04,1.01
1954-11-05,0.97
1954-11-08,0.94
1954-11-09,0.87
1954-11-10,0.88
1954-11-12,0.9
1954-11-15,0.9
1954-11-16,0.89
1954-11-17,0.9
1954-11-18,0.88
1954-11-19,0.87
1954-11-22,0.87
1954-11-23,0.89
1954-11-24,0.93
1954-11-26,0.97
1954-11-29,1.0
1954-11-30,1.01
1954-12-01,1.03
1954-12-02,1.03
1954-12-03,1.03
1954-12-06,1.05
1954-12-07,1.06
1954-12-08,1.1
1954-12-09,1.11
1954-12-10,1.14
1954-12-13,1.26
1954-12-14,1.28
1954-12-15,1.23
1954-12-16,1.24
1954-12-17,1.25
1954-12-20,1.29
1954-12-21,1.26
1954-12-22,1.22
1954-12-23,1.2
1954-12-24,1.2
1954-12-27,1.15
1954-12-28,1.12
1954-12-29,1.08
1954-12-30,1.03
1954-12-31,1.02
1955-01-03,1.07
1955-01-04,1.07
1955-01-05,1.08
1955-01-06,1.1
1955-01-07,1.11
1955-01-10,1.2
1955-01-11,1.23
1955-01-12,1.28
1955-01-13,1.35
1955-01-14,1.36
1955-01-17,1.36
1955-01-18,1.33
1955-01-20,1.28
1955-01-21,1.29
1955-01-24,1.31
1955-01-25,1.3
1955-01-26,1.26
1955-01-27,1.2
1955-01-28,1.14
1955-01-31,1.12
1955-02-01,1.1
1955-02-02,1.12
1955-02-03,1.13
1955-02-04,1.08
1955-02-07,1.04
1955-02-08,1.03
1955-02-09,1.07
1955-02-10,1.07
1955-02-11,1.06
1955-02-14,1.1
1955-02-15,1.1
1955-02-16,1.17
1955-02-17,1.2
1955-02-18,1.23
1955-02-21,1.3
1955-02-23,1.35
1955-02-24,1.37
1955-02-25,1.37
1955-02-28,1.37
1955-03-01,1.36
1955-03-02,1.33
1955-03-03,1.24
1955-03-04,1.17
1955-03-07,1.2
1955-03-08,1.19
1955-03-09,1.25
1955-03-10,1.27
1955-03-11,1.24
1955-03-14,1.25
1955-03-15,1.23
1955-03-16,1.26
1955-03-17,1.28
1955-03-18,1.3
1955-03-21,1.32
1955-03-22,1.27
1955-03-23,1.31
1955-03-24,1.31
1955-03-25,1.29
1955-03-28,1.32
1955-03-29,1.33
1955-03-30,1.4
1955-03-31,1.41
1955-04-01,1.4
1955-04-04,1.43
1955-04-05,1.46
1955-04-06,1.52
1955-04-07,1.55
1955-04-08,1.55
1955-04-11,1.63
1955-04-12,1.62
1955-04-13,1.65
1955-04-14,1.62
1955-04-15,1.62
1955-04-18,1.64
1955-04-19,1.64
1955-04-20,1.65
1955-04-21,1.65
1955-04-22,1.65
1955-04-25,1.66
1955-04-26,1.62
1955-04-27,1.62
1955-04-28,1.63
1955-04-29,1.59
1955-05-02,1.61
1955-05-03,1.59
1955-05-04,1.54
1955-05-05,1.49
1955-05-06,1.51
1955-05-09,1.44
1955-05-10,1.39
1955-05-11,1.42
1955-05-12,1.44
1955-05-13,1.43
1955-05-16,1.41
1955-05-17,1.39
1955-05-18,1.41
1955-05-19,1.44
1955-05-20,1.42
1955-05-23,1.43
1955-05-24,1.44
1955-05-25,1.47
1955-05-26,1.43
1955-05-27,1.41
1955-05-31,1.39
1955-06-01,1.4
1955-06-02,1.36
1955-06-03,1.32
1955-06-06,1.35
1955-06-07,1.36
1955-06-08,1.43
1955-06-09,1.44
1955-06-10,1.47
1955-06-13,1.47
1955-06-14,1.44
1955-06-15,1.49
1955-06-16,1.5
1955-06-17,1.45
1955-06-20,1.41
1955-06-21,1.36
1955-06-22,1.37
1955-06-23,1.37
1955-06-24,1.33
1955-06-27,1.37
1955-06-28,1.4
1955-06-29,1.45
1955-06-30,1.47
1955-07-01,1.46
1955-07-05,1.48
1955-07-06,1.53
1955-07-07,1.52
1955-07-08,1.51
1955-07-11,1.55
1955-07-12,1.55
1955-07-13,1.6
1955-07-14,1.57
1955-07-15,1.57
1955-07-18,1.55
1955-07-19,1.55
1955-07-20,1.64
1955-07-21,1.66
1955-07-22,1.66
1955-07-25,1.68
1955-07-26,1.68
1955-07-27,1.72
1955-07-28,1.73
1955-07-29,1.75
1955-08-01,1.83
1955-08-02,1.86
1955-08-03,1.9
1955-08-04,1.91
1955-08-05,1.89
1955-08-08,1.88
1955-08-09,1.88
1955-08-10,1.89
1955-08-11,1.87
1955-08-12,1.84
1955-08-15,1.86
1955-08-16,1.86
1955-08-17,1.88
1955-08-18,1.82
1955-08-19,1.8
1955-08-22,1.84
1955-08-23,1.86
1955-08-24,1.92
1955-08-25,1.93
1955-08-26,1.95
1955-08-29,2.04
1955-08-30,2.07
1955-08-31,2.09
1955-09-01,2.1
1955-09-02,2.09
1955-09-06,2.09
1955-09-07,2.11
1955-09-08,2.1
1955-09-09,2.11
1955-09-12,2.09
1955-09-13,2.08
1955-09-14,2.06
1955-09-15,2.04
1955-09-16,2.02
1955-09-19,1.98
1955-09-20,1.96
1955-09-21,1.98
1955-09-22,2.01
1955-09-23,2.04
1955-09-26,2.08
1955-09-27,2.08
1955-09-28,2.12
1955-09-29,2.12
1955-09-30,2.15
1955-10-03,2.18
1955-10-04,2.2
1955-10-05,2.23
1955-10-06,2.22
1955-10-07,2.22
1955-10-10,2.23
1955-10-11,2.24
1955-10-13,2.27
1955-10-14,2.3
1955-10-17,2.29
1955-10-18,2.27
1955-10-19,2.27
1955-10-20,2.23
1955-10-21,2.21
1955-10-24,2.21
1955-10-25,2.2
1955-10-26,2.23
1955-10-27,2.22
1955-10-28,2.19
1955-10-31,2.15
1955-11-01,2.1
1955-11-02,2.06
1955-11-03,2.01
1955-11-04,1.96
1955-11-07,2.0
1955-11-08,2.0
1955-11-09,2.08
1955-11-10,2.12
1955-11-14,2.2
1955-11-15,2.3
1955-11-16,2.34
1955-11-17,2.27
1955-11-18,2.35
1955-11-21,2.4
1955-11-22,2.38
1955-11-23,2.44
1955-11-25,2.42
1955-11-28,2.42
1955-11-29,2.42
1955-11-30,2.44
1955-12-01,2.42
1955-12-02,2.36
1955-12-05,2.4
1955-12-06,2.45
1955-12-07,2.51
1955-12-08,2.5
1955-12-09,2.52
1955-12-12,2.52
1955-12-13,2.52
1955-12-14,2.57
1955-12-15,2.56
1955-12-16,2.55
1955-12-19,2.58
1955-12-20,2.6
1955-12-21,2.65
1955-12-22,2.66
1955-12-23,2.67
1955-12-27,2.65
1955-12-28,2.63
1955-12-29,2.54
1955-12-30,2.5
1956-01-03,2.5
1956-01-04,2.5
1956-01-05,2.52
1956-01-06,2.52
1956-01-09,2.58
1956-01-10,2.51
1956-01-11,2.55
1956-01-12,2.53
1956-01-13,2.5
1956-01-16,2.46
1956-01-17,2.42
1956-01-18,2.41
1956-01-19,2.35
1956-01-20,2.3
1956-01-23,2.26
1956-01-24,2.26
1956-01-25,2.28
1956-01-26,2.28
1956-01-27,2.3
1956-01-30,2.34
1956-01-31,2.32
1956-02-01,2.3
1956-02-02,2.25
1956-02-03,2.26
1956-02-06,2.22
1956-02-07,2.2
1956-02-08,2.25
1956-02-09,2.28
1956-02-10,2.33
1956-02-13,2.33
1956-02-14,2.32
1956-02-15,2.37
1956-02-16,2.38
1956-02-17,2.37
1956-02-20,2.36
1956-02-21,2.41
1956-02-23,2.42
1956-02-24,2.41
1956-02-27,2.36
1956-02-28,2.28
1956-02-29,2.3
1956-03-01,2.18
1956-03-02,2.06
1956-03-05,2.15
1956-03-06,2.18
1956-03-07,2.29
1956-03-08,2.29
1956-03-09,2.28
1956-03-12,2.32
1956-03-13,2.33
1956-03-14,2.4
1956-03-15,2.37
1956-03-16,2.38
1956-03-19,2.37
1956-03-20,2.27
1956-03-21,2.25
1956-03-22,2.22
